file,mode,interval_ms,client_count,replication,duration_seconds,expected_messages_per_client,messages_total_across_clients,throughput_aggregate_msgps,throughput_avg_per_client_msgps,throughput_std_per_client_msgps,fairness_cv,latency_avg_mean_across_clients_ms,latency_p95_worst_client_ms,cpu_avg_percent,cpu_p95_percent,cpu_max_percent,mem_rss_avg_mb,mem_rss_max_mb,mem_heap_used_avg_mb,latency_method,sync_failed
rest-polling_20ms_1cli_rep1_2026-05-31T05-56-58-354Z_scalability-clients_aggregate.json,rest-polling,20,1,1,60,3000,1920,32,32,0,0,13.99,22.932,20.022,30.323,39.795,89.499,106.152,18.328,ntp_style_clock_synchronization,false
rest-polling_20ms_1cli_rep2_2026-05-31T05-58-01-061Z_scalability-clients_aggregate.json,rest-polling,20,1,2,60,3000,1920,32,32,0,0,14.147,23.148,18.9,27.241,40.604,103.357,104.23,22.016,ntp_style_clock_synchronization,false
rest-polling_20ms_1cli_rep3_2026-05-31T05-59-03-788Z_scalability-clients_aggregate.json,rest-polling,20,1,3,60,3000,1919,31.983,31.983,0,0,14.134,23.219,19.051,27.897,37.299,104.202,104.57,21.943,ntp_style_clock_synchronization,false
rest-polling_20ms_20cli_rep1_2026-05-31T06-09-31-044Z_scalability-clients_aggregate.json,rest-polling,20,20,1,60,3000,38400,640,32,0,0,16.15,26.436,34.66,67.006,81.061,107.545,108.176,24.045,ntp_style_clock_synchronization,false
rest-polling_20ms_20cli_rep2_2026-05-31T06-10-33-796Z_scalability-clients_aggregate.json,rest-polling,20,20,2,60,3000,38400,640,32,0,0,16.099,26.397,32.277,65.72,80.704,107.571,108.32,20.845,ntp_style_clock_synchronization,false
rest-polling_20ms_20cli_rep3_2026-05-31T06-11-36-545Z_scalability-clients_aggregate.json,rest-polling,20,20,3,60,3000,38400,640,32,0,0,16.087,26.59,32.465,67.832,74.531,107.579,108.555,24.781,ntp_style_clock_synchronization,false
rest-polling_20ms_2cli_rep1_2026-05-31T06-00-06-505Z_scalability-clients_aggregate.json,rest-polling,20,2,1,60,3000,3838,63.966,31.983,0,0,14.235,23.311,20.177,31.165,46.614,103.75,104.645,22.346,ntp_style_clock_synchronization,false
rest-polling_20ms_2cli_rep2_2026-05-31T06-01-09-217Z_scalability-clients_aggregate.json,rest-polling,20,2,2,60,3000,3840,64,32,0,0,14.261,23.322,20.849,33.745,42.694,104.269,104.945,22.265,ntp_style_clock_synchronization,false
rest-polling_20ms_2cli_rep3_2026-05-31T06-02-11-958Z_scalability-clients_aggregate.json,rest-polling,20,2,3,60,3000,3840,64,32,0,0,14.168,23.262,20.3,31.759,42.438,103.822,105.016,21.951,ntp_style_clock_synchronization,false
rest-polling_20ms_5cli_rep1_2026-05-31T06-03-14-692Z_scalability-clients_aggregate.json,rest-polling,20,5,1,60,3000,9610,160.165,32.033,0,0,14.556,23.791,23.463,44.307,64.071,104.492,105.426,21.656,ntp_style_clock_synchronization,false
rest-polling_20ms_5cli_rep2_2026-05-31T06-04-17-433Z_scalability-clients_aggregate.json,rest-polling,20,5,2,60,3000,9610,160.165,32.033,0,0,14.654,23.978,21.865,37.951,55.909,105.29,106.047,22.378,ntp_style_clock_synchronization,false
rest-polling_20ms_5cli_rep3_2026-05-31T06-05-20-146Z_scalability-clients_aggregate.json,rest-polling,20,5,3,60,3000,9600,160,32,0,0,14.579,23.955,22.503,50.438,59.006,105.234,105.813,22.179,ntp_style_clock_synchronization,false
rest-polling_50ms_10cli_rep1_2026-05-31T05-50-41-957Z_scalability-clients_aggregate.json,rest-polling,50,10,1,60,1200,9600,160,16,0,0,29.82,52.919,13.04,33.381,37.411,105.564,106.426,21.372,ntp_style_clock_synchronization,false
rest-polling_50ms_10cli_rep2_2026-05-31T05-51-44-713Z_scalability-clients_aggregate.json,rest-polling,50,10,2,60,1200,9590,159.83,15.983,0,0,30.44,53.6,10.617,24.432,40.483,105.428,106.285,21.405,ntp_style_clock_synchronization,false
rest-polling_50ms_10cli_rep3_2026-05-31T05-52-47-493Z_scalability-clients_aggregate.json,rest-polling,50,10,3,60,1200,9620,160.33,16.033,0,0,30.439,53.607,12.484,33.55,43.817,105.482,106.32,21.12,ntp_style_clock_synchronization,false
rest-polling_50ms_1cli_rep1_2026-05-31T05-41-17-270Z_scalability-clients_aggregate.json,rest-polling,50,1,1,60,1200,961,16.017,16.017,0,0,30.033,51.755,7.648,12.974,18.598,104.878,105.379,21.784,ntp_style_clock_synchronization,false
rest-polling_50ms_1cli_rep2_2026-05-31T05-42-20-033Z_scalability-clients_aggregate.json,rest-polling,50,1,2,60,1200,961,16.017,16.017,0,0,28.928,50.96,7.461,15.038,18.805,104.795,105.727,21.445,ntp_style_clock_synchronization,false
rest-polling_50ms_1cli_rep3_2026-05-31T05-43-22-749Z_scalability-clients_aggregate.json,rest-polling,50,1,3,60,1200,961,16.017,16.017,0,0,28.718,51.469,8.677,15.531,24.197,104.452,105.023,21.875,ntp_style_clock_synchronization,false
rest-polling_50ms_20cli_rep1_2026-05-31T05-53-50-209Z_scalability-clients_aggregate.json,rest-polling,50,20,1,60,1200,19200,320,16,0,0,30.756,55.401,19.158,37.57,46.294,105.53,106.07,21.796,ntp_style_clock_synchronization,false
rest-polling_50ms_20cli_rep2_2026-05-31T05-54-52-923Z_scalability-clients_aggregate.json,rest-polling,50,20,2,60,1200,19180,319.66,15.983,0,0,31.936,55.686,14.596,36.537,43.831,105.97,106.609,21.65,ntp_style_clock_synchronization,false
rest-polling_50ms_20cli_rep3_2026-05-31T05-55-55-639Z_scalability-clients_aggregate.json,rest-polling,50,20,3,60,1200,19160,319.34,15.967,0,0,31.294,55.089,18.63,42.588,53.318,106.025,106.527,21.686,ntp_style_clock_synchronization,false
rest-polling_50ms_2cli_rep1_2026-05-31T05-44-25-500Z_scalability-clients_aggregate.json,rest-polling,50,2,1,60,1200,1922,32.034,16.017,0,0,29.529,52.079,8.276,15.539,28.197,105.392,105.645,21.581,ntp_style_clock_synchronization,false
rest-polling_50ms_2cli_rep2_2026-05-31T05-45-28-253Z_scalability-clients_aggregate.json,rest-polling,50,2,2,60,1200,1920,32,16,0,0,28.938,52.36,9.224,21.363,30.285,105.154,105.781,21.677,ntp_style_clock_synchronization,false
rest-polling_50ms_2cli_rep3_2026-05-31T05-46-31-011Z_scalability-clients_aggregate.json,rest-polling,50,2,3,60,1200,1918,31.966,15.983,0,0,28.791,50.044,9.221,16.104,27.941,104.844,105.957,22,ntp_style_clock_synchronization,false
rest-polling_50ms_5cli_rep1_2026-05-31T05-47-33-727Z_scalability-clients_aggregate.json,rest-polling,50,5,1,60,1200,4800,80,16,0,0,29.328,52.234,10.299,21.984,34.34,105.123,105.48,21.899,ntp_style_clock_synchronization,false
rest-polling_50ms_5cli_rep2_2026-05-31T05-48-36-490Z_scalability-clients_aggregate.json,rest-polling,50,5,2,60,1200,4790,79.835,15.967,0,0,29.798,52.58,10.664,24.688,34.167,105.353,105.867,21.627,ntp_style_clock_synchronization,false
rest-polling_50ms_5cli_rep3_2026-05-31T05-49-39-199Z_scalability-clients_aggregate.json,rest-polling,50,5,3,60,1200,4800,80,16,0,0,29.707,52.756,10.326,24.249,34.311,105.225,106.176,21.589,ntp_style_clock_synchronization,false
rest-polling_5ms_10cli_rep1_2026-05-31T06-37-44-484Z_scalability-clients_aggregate.json,rest-polling,5,10,1,60,12000,39014,650.234,65.023,0.02,0.0003,7.759,10.81,80.236,112.933,133.721,112.921,113.41,24.383,ntp_style_clock_synchronization,false
rest-polling_5ms_10cli_rep2_2026-05-31T06-38-47-195Z_scalability-clients_aggregate.json,rest-polling,5,10,2,60,12000,38908,648.467,64.847,0.023,0.0004,7.832,10.872,78.644,113.09,145.912,113.025,113.496,24.432,ntp_style_clock_synchronization,false
rest-polling_5ms_10cli_rep3_2026-05-31T06-39-49-928Z_scalability-clients_aggregate.json,rest-polling,5,10,3,60,12000,39031,650.517,65.052,0.024,0.0004,7.726,10.694,82.408,120.587,133.693,113.096,113.645,24.67,ntp_style_clock_synchronization,false
rest-polling_5ms_1cli_rep1_2026-05-31T06-28-20-110Z_scalability-clients_aggregate.json,rest-polling,5,1,1,60,12000,3848,64.133,64.133,0,0,6.765,9.262,74.433,84.553,94.3,111.514,112.078,24.434,ntp_style_clock_synchronization,false
rest-polling_5ms_1cli_rep2_2026-05-31T06-29-22-823Z_scalability-clients_aggregate.json,rest-polling,5,1,2,60,12000,3846,64.1,64.1,0,0,6.705,9.195,75.594,93.729,103.156,111.866,112.441,25.042,ntp_style_clock_synchronization,false
rest-polling_5ms_1cli_rep3_2026-05-31T06-30-25-527Z_scalability-clients_aggregate.json,rest-polling,5,1,3,60,12000,3845,64.083,64.083,0,0,6.757,9.225,75.737,94.176,103.544,112.092,112.32,23.846,ntp_style_clock_synchronization,false
rest-polling_5ms_20cli_rep1_2026-05-31T06-40-52-659Z_scalability-clients_aggregate.json,rest-polling,5,20,1,60,12000,179941,2999.016,149.951,0.467,0.0031,8.334,11.205,110.586,132.527,141.067,145.353,157.445,42.318,ntp_style_clock_synchronization,false
rest-polling_5ms_20cli_rep2_2026-05-31T06-41-55-422Z_scalability-clients_aggregate.json,rest-polling,5,20,2,60,12000,179617,2993.615,149.681,0.288,0.0019,8.364,11.303,108.639,125.585,150.547,157.685,158.617,41.663,ntp_style_clock_synchronization,false
rest-polling_5ms_20cli_rep3_2026-05-31T06-42-58-182Z_scalability-clients_aggregate.json,rest-polling,5,20,3,60,12000,180165,3002.749,150.137,0.336,0.0022,8.422,11.401,111.606,131.864,143.311,157.53,158.52,42.897,ntp_style_clock_synchronization,false
rest-polling_5ms_2cli_rep1_2026-05-31T06-31-28-249Z_scalability-clients_aggregate.json,rest-polling,5,2,1,60,12000,7691,128.183,64.091,0.008,0.0001,6.905,9.431,74.462,87.386,96.605,111.911,112.328,24.539,ntp_style_clock_synchronization,false
rest-polling_5ms_2cli_rep2_2026-05-31T06-32-30-973Z_scalability-clients_aggregate.json,rest-polling,5,2,2,60,12000,7688,128.134,64.067,0,0,6.939,9.42,75.607,94.979,114.846,112.1,112.324,24.569,ntp_style_clock_synchronization,false
rest-polling_5ms_2cli_rep3_2026-05-31T06-33-33-688Z_scalability-clients_aggregate.json,rest-polling,5,2,3,60,12000,7694,128.234,64.117,0,0,6.934,9.457,76.067,89.992,112.717,102.752,108.598,23.128,ntp_style_clock_synchronization,false
rest-polling_5ms_5cli_rep1_2026-05-31T06-34-36-388Z_scalability-clients_aggregate.json,rest-polling,5,5,1,60,12000,19294,321.567,64.313,0.019,0.0003,7.184,9.904,79.832,111.846,137.144,112.354,113.09,24.147,ntp_style_clock_synchronization,false
rest-polling_5ms_5cli_rep2_2026-05-31T06-35-39-095Z_scalability-clients_aggregate.json,rest-polling,5,5,2,60,12000,19293,321.551,64.31,0.008,0.0001,7.17,9.859,78.634,100.414,128.251,112.615,113.242,24.161,ntp_style_clock_synchronization,false
rest-polling_5ms_5cli_rep3_2026-05-31T06-36-41-778Z_scalability-clients_aggregate.json,rest-polling,5,5,3,60,12000,19310,321.835,64.367,0,0,2261593.188,4294977.004,77.268,104.4,122.195,113.175,113.57,26.189,ntp_style_clock_synchronization,false
webserial_100ms_1cli_rep1_2026-05-31T06-59-35-832Z_scalability-clients_aggregate.json,webserial,100,1,1,60,600,600,10,10,0,0,3.664,4.484,,,,,,,ntp_style_clock_synchronization,false
webserial_100ms_1cli_rep2_2026-05-31T06-59-35-837Z_scalability-clients_aggregate.json,webserial,100,1,2,60,600,599,9.983,9.983,0,0,3.613,4.452,,,,,,,ntp_style_clock_synchronization,false
webserial_100ms_1cli_rep3_2026-05-31T06-59-35-843Z_scalability-clients_aggregate.json,webserial,100,1,3,60,600,599,9.983,9.983,0,0,3.637,4.484,,,,,,,ntp_style_clock_synchronization,false
webserial_10ms_1cli_rep1_2026-05-31T06-59-35-835Z_scalability-clients_aggregate.json,webserial,10,1,1,60,6000,5999,99.977,99.977,0,0,3.6,4.512,,,,,,,ntp_style_clock_synchronization,false
webserial_10ms_1cli_rep2_2026-05-31T06-59-35-841Z_scalability-clients_aggregate.json,webserial,10,1,2,60,6000,5999,99.982,99.982,0,0,3.586,4.5,,,,,,,ntp_style_clock_synchronization,false
webserial_10ms_1cli_rep3_2026-05-31T06-59-35-846Z_scalability-clients_aggregate.json,webserial,10,1,3,60,6000,5999,99.982,99.982,0,0,3.57,4.488,,,,,,,ntp_style_clock_synchronization,false
webserial_20ms_1cli_rep1_2026-05-31T06-59-35-834Z_scalability-clients_aggregate.json,webserial,20,1,1,60,3000,3000,49.999,49.999,0,0,3.608,4.4,,,,,,,ntp_style_clock_synchronization,false
webserial_20ms_1cli_rep2_2026-05-31T06-59-35-840Z_scalability-clients_aggregate.json,webserial,20,1,2,60,3000,3000,50,50,0,0,3.584,4.394,,,,,,,ntp_style_clock_synchronization,false
webserial_20ms_1cli_rep3_2026-05-31T06-59-35-845Z_scalability-clients_aggregate.json,webserial,20,1,3,60,3000,3000,49.999,49.999,0,0,3.546,4.344,,,,,,,ntp_style_clock_synchronization,false
webserial_50ms_1cli_rep1_2026-05-31T06-59-35-833Z_scalability-clients_aggregate.json,webserial,50,1,1,60,1200,1200,20,20,0,0,3.547,4.438,,,,,,,ntp_style_clock_synchronization,false
webserial_50ms_1cli_rep2_2026-05-31T06-59-35-838Z_scalability-clients_aggregate.json,webserial,50,1,2,60,1200,1200,19.999,19.999,0,0,3.594,4.5,,,,,,,ntp_style_clock_synchronization,false
webserial_50ms_1cli_rep3_2026-05-31T06-59-35-844Z_scalability-clients_aggregate.json,webserial,50,1,3,60,1200,1200,20,20,0,0,3.589,4.498,,,,,,,ntp_style_clock_synchronization,false
webserial_5ms_1cli_rep1_2026-05-31T06-59-35-836Z_scalability-clients_aggregate.json,webserial,5,1,1,60,12000,11995,199.917,199.917,0,0,3.683,4.504,,,,,,,ntp_style_clock_synchronization,false
webserial_5ms_1cli_rep2_2026-05-31T06-59-35-842Z_scalability-clients_aggregate.json,webserial,5,1,2,60,12000,11996,199.93,199.93,0,0,3.689,4.5,,,,,,,ntp_style_clock_synchronization,false
webserial_5ms_1cli_rep3_2026-05-31T06-59-35-847Z_scalability-clients_aggregate.json,webserial,5,1,3,60,12000,11995,199.913,199.913,0,0,3.66,4.48,,,,,,,ntp_style_clock_synchronization,false
websocket_100ms_10cli_rep1_2026-05-31T04-16-35-279Z_scalability-clients_aggregate.json,websocket,100,10,1,60,600,6000,100,10,0,0,4.082,5.05,4.275,6.401,9.404,77.121,77.684,19.362,ntp_style_clock_synchronization,false
websocket_100ms_10cli_rep2_2026-05-31T04-17-38-003Z_scalability-clients_aggregate.json,websocket,100,10,2,60,600,6000,100,10,0,0,4.068,5.021,4.408,6.402,9.601,77.426,77.59,13.77,ntp_style_clock_synchronization,false
websocket_100ms_10cli_rep3_2026-05-31T04-18-40-709Z_scalability-clients_aggregate.json,websocket,100,10,3,60,600,6000,100,10,0,0,4.082,5.035,4.172,6.4,9.203,77.464,77.859,15.307,ntp_style_clock_synchronization,false
websocket_100ms_1cli_rep1_2026-05-31T04-07-10-886Z_scalability-clients_aggregate.json,websocket,100,1,1,60,600,600,10,10,0,0,4.072,4.918,4.393,9.391,12.608,68.082,76.02,12.689,ntp_style_clock_synchronization,false
websocket_100ms_1cli_rep2_2026-05-31T04-08-13-583Z_scalability-clients_aggregate.json,websocket,100,1,2,60,600,600,10,10,0,0,3.974,4.891,4.153,6.4,12.397,68.805,69.469,14.156,ntp_style_clock_synchronization,false
websocket_100ms_1cli_rep3_2026-05-31T04-09-16-291Z_scalability-clients_aggregate.json,websocket,100,1,3,60,600,600,10,10,0,0,3.982,4.788,3.906,6.401,12.114,71.001,71.59,15.698,ntp_style_clock_synchronization,false
websocket_100ms_20cli_rep1_2026-05-31T04-19-43-406Z_scalability-clients_aggregate.json,websocket,100,20,1,60,600,12000,200,10,0,0,4.198,5.28,4.618,6.403,9.603,78.802,78.922,17.114,ntp_style_clock_synchronization,false
websocket_100ms_20cli_rep2_2026-05-31T04-20-46-130Z_scalability-clients_aggregate.json,websocket,100,20,2,60,600,12000,200,10,0,0,4.231,5.203,4.828,9.397,12.599,78.885,78.984,18.626,ntp_style_clock_synchronization,false
websocket_100ms_20cli_rep3_2026-05-31T04-21-48-841Z_scalability-clients_aggregate.json,websocket,100,20,3,60,600,12000,200,10,0,0,4.341,5.397,4.798,6.401,12.591,78.906,79.047,19.345,ntp_style_clock_synchronization,false
websocket_100ms_2cli_rep1_2026-05-31T04-10-18-998Z_scalability-clients_aggregate.json,websocket,100,2,1,60,600,1200,20,10,0,0,4.027,4.861,3.76,6.393,9.182,72.695,73.656,17.264,ntp_style_clock_synchronization,false
